name,city,province,latitude,longitude,categories,primaryCategories,review_count,avg_rating
Trails End Motel,Wisconsin Dells,WI,43.627487,-89.761345,"Motels,Lodging,Hotels,Hotels and motels,Hotel",Accommodation & Food Services,1,4.0
Courtyard Chicago Deerfield,Deerfield,IL,42.154083,-87.84717,"Hotel,Hotels Motels,Travel & Transport,Hotels & Motels",Accommodation & Food Services,1,1.0
Turner Falls Inn,Davis,OK,34.14215,-97.11329,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,2,2.5
Crossland Economy Studios Tacoma - Puyallup,Puyallup,WA,47.208492,-122.29389,"Hotels,Motels,Corporate Lodging,Hotels-Apartment,Lodging,Hotel",Accommodation & Food Services,1,5.0
Heritage Inn,Searcy,AR,35.2486,-91.7278,"Hotels,Motels,Lodging,Hotel,Hotels Motels,Travel and Tourism",Accommodation & Food Services,1,4.0
Larkspur Landing Renton,Renton,WA,47.46391,-122.21961,"Hotels and motels,Hotel",Accommodation & Food Services,3,4.666666666666667
Red Roof Inn & Suites Muskegon Heights,Muskegon,MI,43.18893,-86.23799,"Hotels,Hotel,Hotels and motels",Accommodation & Food Services,11,2.5454545454545454
Hampton Inn & Suites Tampa Northwest/oldsmar,Oldsmar,FL,28.03667,-82.65676,"Hotels and motels,Hotels,Lodging,Corporate Lodging,Hotel",Accommodation & Food Services,5,4.6
Austin Motel,Austin,TX,30.2518,-97.749,"Hotels and motels,Hotels,Hotels Motels,Tourist Hotels,Boutique Hotels,Budget Hotels,Hotel,Motel Bouldin Creek,Motel",Accommodation & Food Services,2,4.5
Best Western Fostoria Inn Suites,Fostoria,OH,41.18055,-83.41996,"Hotels,Lodging,Hotel",Accommodation & Food Services,2,4.5
South Congress Hotel,Austin,TX,30.247455,-97.750463,"Hotels and motels,Hotel and motel reservations,Hotels Motels,Hotel,Hotels",Accommodation & Food Services,2,4.5
Famous Shores Motel,Daytona Beach,FL,29.14367,-80.96562,"Hotels and motels,Motels,Lodging,Hotels,Hotel",Accommodation & Food Services,1,4.0
Best Western Canal Winchester Inn - Columbus South East,Canal Winchester,OH,39.8524,-82.83008,"Hotels,Lodging,Hotels Motels,Hotel",Accommodation & Food Services,5,3.6
Foothills Motel,Dover Plains,NY,41.74527,-73.58454,"Motels,Hotels,Lodging,Hotels and motels,Hotel,B&bs / Inns",Accommodation & Food Services,2,3.0
Days Inn Perry Near Fairgrounds,Perry,GA,32.47026,-83.74621,"Hotels,Hotel",Accommodation & Food Services,2,2.0
Microtel Inn Suites by Wyndham Prairie du Chien,Prairie du Chien,WI,43.02974,-91.13097,"Lodging,Hotels,Hotels Motels,Hotel,Hotels & Motels",Accommodation & Food Services,6,4.0
Chase Suite Hotel Tampa,Tampa,FL,27.969898,-82.56264,"Hotel,Hotels and motels,Corporate Lodging,Hotels,Lodging,Motels,Hotel Village of Tampa",Accommodation & Food Services,12,2.75
Best Western Plus Executive Suites,Albuquerque,NM,35.1338,-106.6077,"Hotel,Hotels Motels,Lodging,Budget Hotels,Business Hotels,Family-friendly Hotels",Accommodation & Food Services,8,4.375
Crescent Suites & Hotel,Waltham,MA,42.3643,-71.24418,"Hotels and motels,Hotel South Side,Travel and Tourism,Hotel",Accommodation & Food Services,1,5.0
Pelican Post Motel,Bradenton Beach,FL,27.466,-82.6973,"Hotels and motels,Hotels Motels,Motels,Lodging,Hotel",Accommodation & Food Services,2,5.0
